timestamp,waypoint_index,lat,lon,temperature,humidity
2026-08-26 22:08:42.249234,0,19.076,72.8777,4.88,40.97
2026-08-26 22:23:42.249234,0,19.06157,72.91767,5.02,46.54
2026-08-26 22:38:42.249234,0,19.04713,72.95763,5.01,58.69
2026-08-26 22:53:42.249234,0,19.0327,72.9976,4.99,46.83
2026-08-26 23:08:42.249234,0,19.01827,73.03757,5.19,47.19
2026-08-26 23:23:42.249234,0,19.00383,73.07753,5.37,46.43
2026-08-26 23:38:42.249234,1,18.9894,73.1175,5.3,44.97
2026-08-26 23:53:42.249234,1,18.95783,73.15625,5.31,50.73
2026-08-27 00:08:42.249234,1,18.92627,73.195,5.38,55.51
2026-08-27 00:23:42.249234,1,18.8947,73.23375,5.31,43.1
2026-08-27 00:38:42.249234,1,18.86313,73.2725,5.47,43.52
2026-08-27 00:53:42.249234,1,18.83157,73.31125,5.49,40.69
2026-08-27 01:08:42.249234,2,18.8,73.35,5.89,45.16
2026-08-27 01:23:42.249234,2,18.775,73.4,6.48,45.42
2026-08-27 01:38:42.249234,2,18.75,73.45,6.92,47.24
2026-08-27 01:53:42.249234,2,18.725,73.5,7.45,55.7
2026-08-27 02:08:42.249234,2,18.7,73.55,7.79,41.28
2026-08-27 02:23:42.249234,2,18.675,73.6,8.14,52.32
2026-08-27 02:38:42.249234,3,18.65,73.65,8.71,51.29
2026-08-27 02:53:42.249234,3,18.63013,73.68297,9.07,51.43
2026-08-27 03:08:42.249234,3,18.61027,73.71593,9.49,57.0
2026-08-27 03:23:42.249234,3,18.5904,73.7489,9.98,50.83
2026-08-27 03:38:42.249234,3,18.57053,73.78187,10.37,47.22
2026-08-27 03:53:42.249234,3,18.55067,73.81483,10.86,54.16
