timestamp,waypoint_index,lat,lon,temperature,humidity,temp_delta_1,temp_delta_3_avg,temp_current,will_breach_soon,shipment_id
2026-08-27 13:31:43.393925,0,19.076,72.8777,4.9,46.65,0.0,0.0,4.9,0,0
2026-08-27 13:46:43.393925,0,19.06157,72.91767,5.06,50.28,0.15999999999999925,0.0,5.06,0,0
2026-08-27 14:01:43.393925,0,19.04713,72.95763,4.95,54.97,-0.10999999999999943,0.0,4.95,0,0
2026-08-27 14:16:43.393925,0,19.0327,72.9976,4.79,48.3,-0.16000000000000014,-0.03666666666666677,4.79,0,0
2026-08-27 14:31:43.393925,0,19.01827,73.03757,4.78,47.36,-0.009999999999999787,-0.09333333333333312,4.78,0,0
2026-08-27 14:46:43.393925,0,19.00383,73.07753,4.86,58.61,0.08000000000000007,-0.029999999999999954,4.86,0,0
2026-08-27 15:01:43.393925,1,18.9894,73.1175,4.76,43.41,-0.10000000000000053,-0.010000000000000083,4.76,0,0
2026-08-27 15:16:43.393925,1,18.95783,73.15625,4.93,41.94,0.16999999999999993,0.04999999999999982,4.93,0,0
2026-08-27 15:31:43.393925,1,18.92627,73.195,4.89,44.72,-0.040000000000000036,0.009999999999999787,4.89,0,0
2026-08-27 15:46:43.393925,1,18.8947,73.23375,4.71,57.35,-0.17999999999999972,-0.016666666666666607,4.71,0,0
2026-08-27 16:01:43.393925,1,18.86313,73.2725,4.67,46.99,-0.040000000000000036,-0.0866666666666666,4.67,0,0
2026-08-27 16:16:43.393925,1,18.83157,73.31125,4.67,48.69,0.0,-0.07333333333333325,4.67,0,0
2026-08-27 16:31:43.393925,2,18.8,73.35,5.41,61.98,0.7400000000000002,0.2333333333333334,5.41,0,0
2026-08-27 16:46:43.393925,2,18.775,73.4,6.26,61.42,0.8499999999999996,0.5299999999999999,6.26,1,0
2026-08-27 17:01:43.393925,2,18.75,73.45,6.96,59.1,0.7000000000000002,0.7633333333333333,6.96,1,0
2026-08-27 17:16:43.393925,2,18.725,73.5,8.08,62.18,1.12,0.89,8.08,1,0
2026-08-27 17:31:43.393925,2,18.7,73.55,8.89,61.98,0.8100000000000005,0.8766666666666669,8.89,1,0
2026-08-27 17:46:43.393925,2,18.675,73.6,9.84,62.53,0.9499999999999993,0.96,9.84,1,0
2026-08-27 18:01:43.393925,3,18.65,73.65,10.89,64.53,1.0500000000000007,0.9366666666666669,10.89,1,0
2026-08-27 18:16:43.393925,3,18.63013,73.68297,11.65,70.54,0.7599999999999998,0.9199999999999999,11.65,1,0
2026-08-27 18:31:43.393925,3,18.61027,73.71593,12.81,67.76,1.1600000000000001,0.9900000000000002,12.81,1,0
2026-08-27 18:46:43.393925,3,18.5904,73.7489,13.61,64.62,0.7999999999999989,0.9066666666666663,13.61,1,0
2026-08-27 19:01:43.393925,3,18.57053,73.78187,14.63,70.12,1.0200000000000014,0.9933333333333335,14.63,1,0
2026-08-27 19:16:43.393925,3,18.55067,73.81483,15.41,70.39,0.7799999999999994,0.8666666666666666,15.41,1,0
2026-08-27 13:31:43.409686,0,19.076,72.8777,4.98,59.56,0.0,0.0,4.98,0,1
2026-08-27 13:46:43.409686,0,19.06157,72.91767,5.01,59.08,0.02999999999999936,0.0,5.01,0,1
2026-08-27 14:01:43.409686,0,19.04713,72.95763,5.13,50.57,0.1200000000000001,0.0,5.13,0,1
2026-08-27 14:16:43.409686,0,19.0327,72.9976,5.23,49.27,0.10000000000000053,0.08333333333333333,5.23,0,1
2026-08-27 14:31:43.409686,0,19.01827,73.03757,5.1,46.49,-0.13000000000000078,0.029999999999999954,5.1,0,1
2026-08-27 14:46:43.409686,0,19.00383,73.07753,5.09,59.88,-0.009999999999999787,-0.013333333333333345,5.09,0,1
2026-08-27 15:01:43.409686,1,18.9894,73.1175,5.27,43.28,0.17999999999999972,0.01333333333333305,5.27,0,1
2026-08-27 15:16:43.409686,1,18.95783,73.15625,5.09,56.9,-0.17999999999999972,-0.0033333333333332624,5.09,0,1
2026-08-27 15:31:43.409686,1,18.92627,73.195,5.19,42.66,0.10000000000000053,0.03333333333333351,5.19,0,1
2026-08-27 15:46:43.409686,1,18.8947,73.23375,5.27,43.03,0.07999999999999918,0.0,5.27,0,1
2026-08-27 16:01:43.409686,1,18.86313,73.2725,5.18,41.57,-0.08999999999999986,0.029999999999999954,5.18,0,1
2026-08-27 16:16:43.409686,1,18.83157,73.31125,5.23,53.5,0.05000000000000071,0.013333333333333345,5.23,0,1
