timestamp,waypoint_index,lat,lon,temperature,humidity,tts_remaining_hours,percent_remaining,risk_level
2026-08-27 13:29:46.233754,0,19.076,72.8777,4.93,41.7,72.0,100.0,SAFE
2026-08-27 13:44:46.233754,0,19.06157,72.91767,4.83,45.0,71.75,99.65277777777779,SAFE
2026-08-27 13:59:46.233754,0,19.04713,72.95763,4.74,51.26,71.5,99.30555555555556,SAFE
2026-08-27 14:14:46.233754,0,19.0327,72.9976,4.75,52.37,71.25,98.95833333333334,SAFE
2026-08-27 14:29:46.233754,0,19.01827,73.03757,4.86,52.53,71.0,98.61111111111111,SAFE
2026-08-27 14:44:46.233754,0,19.00383,73.07753,4.84,59.02,70.75,98.26388888888889,SAFE
2026-08-27 14:59:46.233754,1,18.9894,73.1175,4.99,58.26,70.5,97.91666666666666,SAFE
2026-08-27 15:14:46.233754,1,18.95783,73.15625,4.8,40.47,70.25,97.56944444444444,SAFE
2026-08-27 15:29:46.233754,1,18.92627,73.195,4.67,41.45,70.0,97.22222222222221,SAFE
2026-08-27 15:44:46.233754,1,18.8947,73.23375,4.76,47.77,69.75,96.875,SAFE
2026-08-27 15:59:46.233754,1,18.86313,73.2725,4.58,46.77,69.5,96.52777777777779,SAFE
2026-08-27 16:14:46.233754,1,18.83157,73.31125,4.66,50.51,69.25,96.18055555555556,SAFE
2026-08-27 16:29:46.233754,2,18.8,73.35,5.25,56.8,69.0,95.83333333333334,SAFE
2026-08-27 16:44:46.233754,2,18.775,73.4,5.78,57.13,68.75,95.48611111111111,SAFE
2026-08-27 16:59:46.233754,2,18.75,73.45,6.09,59.11,68.5,95.13888888888889,SAFE
2026-08-27 17:14:46.233754,2,18.725,73.5,6.61,58.85,68.25,94.79166666666666,SAFE
2026-08-27 17:29:46.233754,2,18.7,73.55,7.03,58.88,68.0,94.44444444444444,SAFE
2026-08-27 17:44:46.233754,2,18.675,73.6,7.53,56.93,67.75,94.09722222222221,SAFE
2026-08-27 17:59:46.233754,3,18.65,73.65,8.01,61.32,2.0,2.7777777777777777,CRITICAL
2026-08-27 18:14:46.233754,3,18.63013,73.68297,8.58,63.61,1.75,2.430555555555556,CRITICAL
2026-08-27 18:29:46.233754,3,18.61027,73.71593,9.02,59.22,1.5,2.083333333333333,CRITICAL
2026-08-27 18:44:46.233754,3,18.5904,73.7489,9.57,59.6,1.25,1.7361111111111112,CRITICAL
2026-08-27 18:59:46.233754,3,18.57053,73.78187,9.89,63.96,1.0,1.3888888888888888,CRITICAL
2026-08-27 19:14:46.233754,3,18.55067,73.81483,10.41,60.69,0.75,1.0416666666666665,CRITICAL
